Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
51277925,The Legend of Sleepy Hollow,Washington Irving,"Irving, Washington",,"=""1542019222""","=""9781542019224""",3,3.77,AmazonClassics,Kindle Edition,39,2019,1820,2023/05/24,2023/05/24,"classics, kindled","classics (#24), kindled (#23)",read,"This story was alright, the pacing was a little off, a lot of build up for a rushed ending. Even for a short story it felt like it dragged in the middle which was a shame and the plot was pretty basic ",,,1,0
35427437,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"Stevenson, Robert Louis",,"=""154209769X""","=""9781542097697""",4,3.83,AmazonClassics,Kindle Edition,62,2017,1886,2023/05/24,2023/05/24,"classics, low-fantasy, science-fiction, kindled","classics (#25), low-fantasy (#30), science-fiction (#62), kindled (#22)",read,"This book was good, it is a shame that through popularity I knew the main twist of the novel but nothing I can really do about that. It was still a fascinating plot that I really enjoyed. I’m pretty certain it isn’t but I felt like it was a metaphor for alcoholism, he drinks a liquid and gets a new personality that’s more erratic and violent and wakes up forgetting what he did as this personality? Sounds like alcoholism to me.",,,1,0
48992189,The Most Dangerous Game,Richard Connell,"Connell, Richard",,"=""1542021936""","=""9781542021937""",5,3.95,AmazonClassics,Kindle Edition,29,2020,1924,2023/05/24,2023/05/24,"classics, kindled","classics (#23), kindled (#21)",read,"I loved this book, it built tension beautifully and painted a terrifying picture of General Zaroff. The ending was also incredible and I highly recommend this to anyone who likes short stories.",,,1,0
275109,In the glassroom,Roger McGough,"McGough, Roger",,"=""0224013173""","=""9780224013178""",4,3.71,Cape,Paperback,60,1976,1976,2023/06/08,2023/06/08,loaned,loaned (#4),read,"My friend, Sofia, lent me this book telling me it was a nice short read and the ending made her love it, and she was absolutely right. It took me about 30 minutes to read and the ending was brilliant. The poems are pretty good with my favourite being ‘science, where are you?’ But on their own they are not particularly special, but the last 15 pages tell a brilliant meta story about itself which I won’t spoil but it’s brilliant. <br/>Good recommendation Sofia",,,1,0
51815418,A Modest Proposal (AmazonClassics Edition),Jonathan Swift,"Swift, Jonathan",,"=""1542019389""","=""9781542019385""",4,4.02,AmazonClassics,Kindle Edition,50,2019,1729,2023/06/11,2023/06/11,kindled,kindled (#20),read,"This book might be almost 300 years but it’s satire remains just as relevant today as it did back then. The logical explanation he gives for why the proposal is good mirrors exact thought processes modern politicians would use for similar (though likely less drastic) proposals, giving it a grounded and real feeling that I’d almost believe he was actually suggesting it. ",,,1,0
525878,Breakfast of Champions,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",4,4.06,Vintage,Paperback,296,2000,1973,2023/08/16,2023/08/02,"science-fiction, loaned","science-fiction (#65), loaned (#3)",read,"I will start this review by giving thanks to my good friend Sofia who lent me this book, she read it and knew I’d enjoy it and she was right. I don’t think she knew how much I’d enjoy it. I related to this book immensely, a statement I doubt many people have said about it but for me it’s true. It was wild, wacky, meta and more but it felt like real life more than the majority of books I’ve read. Both Kilgore trout and Dwayne hoover were deeply human characters, I have often felt like both of them. Kilgore trout mirrored my less sensical side, doing things purely because they were interesting to do and would create an interesting reaction. Whereas Dwayne mirrored my less healthy side, doing things because bad chemicals in your brain won’t let you not do it. It is because of the combination of these two characters that I felt so seen. It also had fun little pictures and tangents which I also love. Which I didn’t love was the unnecessary sexual details and slurs. It was alright the first couple of times he described penis length and diameter bur then it just kept happening throughout and it felt gratuitous. The use of the n word was even more gratuitous, it could not be explained away as just being a product of the  time because it was clearly used as a bad thing within the novel and that really harmed my ability to enjoy the book. I should also note that I have more sides to me than just those two I’m not mentally unwell. Telling you what was going to happen from the beginning also made the stakes higher as you could see how things were falling into place. Anyway thank you Sofia I really loved this and it was really me. Oh I forgot about the formatting that was really good too.",,,1,0
123182423,Down the Drain,Julia   Fox,"Fox, Julia",,"=""1797164147""","=""9781797164144""",5,4.36,Simon  Schuster Audio,Audiobook,,2023,2023,2024/09/07,2024/09/01,audiobooked,audiobooked (#25),read,"Anyone who's even glanced at my read books will know that I don't read non-fiction, in fact I dare say this might be one of only two that I recall. But when its time to leave your comfort zone it's good to do it with a bang. This book definitely achieved that and more.<br/><br/>I will start by mentioning I 'read' this as an audiobook, for I had heard it was the best medium for an autobiography and I can see why people say that, having Fox tell the stories in her own voice adds a lot of weight to the story, making you really appreciate that everything you hear did actually happen to her. <br/><br/>I'll admit I knew very little about Julia Fox's life before this, just she was famous in the New York scene and referenced in the hit album BRAT. I think knowing so little played to the book's benefit, as every twist and turn of her life came as a shock, and golly were there are a lot of shocks. I never knew quite how much she had done in her life, from work as a dominatrix to an acting career, it's really all there.<br/><br/>I don't really know what I can say, normally i'd talk about the plot and characters in these reviews but I don't think that's how it works for autobiographies, can't really review real life people, or maybe you can idk?<br/><br/>What's important is it was a fascinating read and I believe I made a great choice for my first autobiography. Jennette McCurdy's one is coming next I believe, whenever I get around to that. ",,,1,0
415459,I Have No Mouth & I Must Scream,Harlan Ellison,"Ellison, Harlan",Theodore Sturgeon,"=""0441363954""","=""9780441363957""",5,3.89,Ace,Mass Market Paperback,134,1967,1967,2025/02/22,2025/02/22,"dystopia, science-fiction, read-in-2025, kindled","dystopia (#15), science-fiction (#74), read-in-2025 (#12), kindled (#19)",read,,,,1,0
108262438,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle","Jennifer Kim, Julian Cihi","=""""","=""""",5,4.12,Penguin Audio,Audible Audio,14,2022,2022,2025/05/29,2025/05/29,"read-in-2025, audiobooked","read-in-2025 (#9), audiobooked (#24)",read,"My Sister, Sophie (not to be confused with Sofia), has been recommending that I read this for a very long time since she read it but I had always felt it wasn't going to be my kind of thing. Despite that when given the opportunity to get a free audiobook about a year ago I chose this, committing at least to give it a go. <br/><br/>At last after finishing my last exam of university I knew it was time to get back to what I enjoyed most in my free time, reading, and such I chose to start this book, once again committing to at least give it a go. And indeed I did give it a go, finishing it in just one night from 6:20PM until 1:50AM (7.5 hours). Perhaps finishing it within one night can be attributed to the audiobook format which makes it hard to stop, but really I didn't want to stop anyway so I'm sure if it was in my hands I would have managed anyway. <br/><br/>Enough about my life though onto the book itself, starting with plot. I went into this almost blind, only reading the blurb before I started, and I think that was the right way to do it. Many of my long time fans will know I have a certain disdain for romance in my novels, as often it takes away from the core story and serves as pure fan service, but the blurb was right when it said ""it's not a romance, but it is about love"", and I think that's a distinction that many authors have failed to draw in their works. I should mention now that this will almost certainly contain spoilers. The core plot of the story follows 2.5 main characters (Sam, Sadie and Marx partially) as they work to create a games company, but really that is more of a vessel for the deeper plot, what really matters is the relationship between Sam and Sadie throughout their lives, from meeting in the hospital to saying goodbye at the airport and beyond. It worked so well to me because it felt so real, and even when I couldn't necessarily relate to the choices they were making, they were making them for reasons I could understand. A lesser novel oft rely on misunderstandings, or seemingly irrational choices to guide their characters to go to the places they want to go, but I never felt like Zevin was forcing them to do anything they wouldn't and that made the plot feel so organic and real. That's not to say there weren't many misunderstandings that felt frustrating I couldn't resolve, but sadly that's the nature of real relationships so I could always understand the lack of communication through character motivations. I also felt relieved that Sam and Sadie never ended up together romantically, as I did fear they would, because that would have somewhat invalidated huge sections of the message I got from it, that sometimes no matter how much you love someone you just aren't right for each other. Their love felt obsessive, and perhaps only ever peripheral to their love of the game, so why should they deserve that sort of happy ending. <br/><br/>That leads very well onto the characters which hopefully you can tell I loved. Marx was probably my favourite character, although it does feel unfair to make them compete, and although I did describe him as only half of a main character above he held the most depth for me. This was greatly aided by the NPC chapter, which was wholly dedicated to him, in there was something he said that I can't quite remember but goes like 'If I make enough of an impact when i'm there, they will imagine me there when i'm not'. This was perhaps a little on the nose considering the main plot of that chapter but it was moving and encapsulates his impact on the novel so well, even if he wasn't there for a lot of it. Sam and Sadie are far harder pin down, they both felt selfish and dislikable and yet it was very hard not to understand why they are the way that they are. Situations don't excuse actions but it was hard to blame them for the cruelty they inflicted upon each other in pursuit of an aim they didn't truly reap the pleasures of. When I think back upon when in the novel they were happiest the only real answer was when they first met as children, everything later when they reached their own ideas of success felt as though it only made them more miserable and pulled them apart. <br/><br/>Finally I would like to touch on the prose briefly, as I feel like it is harder to comment on when only consumed audibly. Zevins ability to carefully weave together jumps between times in their lives was masterful and there was never a point when I felt confused about when we were supposed to be, as often there are in other novels. The two 'special' chapters were also an incredible achievement to pull off so well, changing perspective so drastically not once but twice requires a lot of confidence in your work, and clearly she was right to be confident as it drew me in even closer. <br/><br/>I would highly recommend you read this book, even if I have spoiled many sections, and it was incredible and thank you for reading this review.",,,1,0
56268878,Annihilation (Southern Reach #1),Jeff Vandermeer,"Vandermeer, Jeff",Karen Joy Fowler,"=""1250824044""","=""9781250824042""",5,3.80,Picador,Paperback,195,2024,2014,2025/07/15,2025/06/25,"book-club, science-fiction, read-in-2025, audiobooked","book-club (#2), science-fiction (#76), read-in-2025 (#4), audiobooked (#23)",read,,,,1,0
56268879,Authority (Southern Reach #2),Jeff Vandermeer,"Vandermeer, Jeff",N.K. Jemisin,"=""1250824052""","=""9781250824059""",4,3.55,Picador,Paperback,368,2024,2014,2025/07/31,2025/07/15,"science-fiction, owned, read-in-2025, audiobooked","science-fiction (#77), owned (#177), read-in-2025 (#13), audiobooked (#22)",read,"I’d heard this was the worst book in the trilogy and I can definitely understand why people say that, there’s no denying that the middle half drags on far too long and develops nothing but oh wow does it really pick up at the end and concludes so perfectly. <br/><br/>It’s definitely a different kind of book from annihilation and does provide far more answers but it also makes you ask many more questions that will bind me to reading the finale in the hope that it clarifies even a little <br/><br/>Definitely a recommend for if you enjoyed annihilation ",,,1,0
56268877,"Acceptance (The Southern Reach Series, 3)",Jeff Vandermeer,"Vandermeer, Jeff",Helen Macdonald,"=""1250824060""","=""9781250824066""",3,3.66,Picador,Paperback,368,2024,2014,2025/08/01,2025/07/15,"science-fiction, read-in-2025, audiobooked","science-fiction (#78), read-in-2025 (#14), audiobooked (#21)",read,"Another day, another southern reach book read. <br/><br/>As the finale of the book I had very high hopes and many questions and I think it did a good job providing me the pieces to build up the answers without stating anything too explicitly, preserving the mystery of the novels. <br/><br/>I think my main issue was with the structure of the book, the first two followed one primary character throughout a mostly linear plot and that worked well, this one followed four characters over three different time periods and I got the impression Jeff felt required to rotate through each one at regular intervals. This made the plot feel very stop start as we had to change focus every 5-10 pages. None of the stories were necessarily bad in their own right but the lack of synergy of the stories irked me on every rotation.<br/><br/>The structure did benefit the construction of the grand reveal bit by bit at the end from all directions, which was a brilliant feeling to have the entire jigsaw come down into place, but to weigh up the options I think I’d rather a more fluid structure even if that meant the big reveals weren’t synchronised as nicely.<br/><br/>As for what I actually thought of the big picture in the end, most of the sections I liked and made sense within the universe but I did feel like there was still some gaps that either seemingly contradicted each other or needed further clarification.<br/><br/>Don’t let that get you down though this was still a good book and great trilogy so read it ",,,1,0
18046624,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""""","=""""",5,4.27,Del Rey,ebook,400,2014,2014,2025/08/02,2025/08/02,"science-fiction, read-in-2025, audiobooked, kindled","science-fiction (#80), read-in-2025 (#15), audiobooked (#20), kindled (#18)",read,"This book first came to my attention one short month ago when many people at my book club said it was one of their favourites. I had strangely never heard of it but put it down as one I should read nonetheless. Fast forward to this week when the new book chosen has been described as being just like red rising, however I still hadn’t read it so the only logical choice for me to take was to read it immediately in order to prepare to read the actual book i am meant to read. Luckily it was good enough that I have finished it within a day so I think I’ll managed to fit them all in.<br/><br/>So now I’ve explained how I got here I might as well review the book, it was incredible. While not the most unique premise it was so well written that it goes far being other similar books.<br/><br/>Without veering too far into spoilers I did appreciate the subtlety physical differences between the reds and the golds which wasn’t so extreme that it made no sense but also didn’t go for the ‘we are all the same’ approach which wouldn’t have made the story to compelling. It made it murkier about whether Darrow was unique or just lucky to have gotten the opportunity to show what any red was capable of.<br/><br/>That leads onto the character work which was also amazing, and managed to balance a wide range of secondary characters so well, making you like the people you in theory should hate is a difficult thing and I do think that Darrow will have similar issues in the future books.<br/><br/>Definitely read it although now I’ve retrospected it might not have been a good idea to read this before the other one because if they are so similar and it’s not as good that will be even worse ",,,1,0
127282429,Who’s Afraid of Gender?,Judith Butler,"Butler, Judith",,"=""0374608229""","=""9780374608224""",5,4.03,"Farrar, Straus and Giroux",Hardcover,320,2024,2024,2025/08/03,2025/08/02,"read-in-2025, kindled","read-in-2025 (#16), kindled (#17)",read,"I’ve always been aware of Judith butler but hadn’t delved into her work as I’m not one who often reads non-fiction. However I was was reading the essential dykes to watch out for and they got mentioned and I felt that I was on such a roll of reading a book every day that there was no better time to delve into it. <br/><br/>The book itself was brilliant, structured as an explanation of each group of contemporary critics and their reasoning and motivations to oppose more complex theories of gender and then of course demonstrating why it is flawed. <br/><br/>I can’t say I fully understood all of it, particularly the section about monolingualism so hopefully once someone else reads it they can explain. It did help that it was written in 2024 so it covered a lot more examples that I was already aware of such as trump and jk Rowling so that was nice<br/><br/>You should read this if you like trans people ",,,1,0
43352954,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",4,3.85,Saga Press,ebook,209,2019,2019,2025/08/06,2025/08/03,"science-fiction, read-in-2025, kindled, audiobooked","science-fiction (#81), read-in-2025 (#17), kindled (#16), audiobooked (#19)",read,I’ll admit I don’t read much romance so it’s hard to review this but it was a very compelling story told in a very compelling way and I really enjoyed the ending so yeah it was a good book,,,1,0
18966819,"Golden Son (Red Rising Saga, #2)",Pierce Brown,"Brown, Pierce",,"=""0345539826""","=""9780345539823""",5,4.49,Del Rey,ebook,466,2015,2015,2025/08/10,2025/08/09,"science-fiction, read-in-2025, audiobooked, kindled","science-fiction (#82), read-in-2025 (#18), audiobooked (#18), kindled (#15)",read,,,,1,0
12014,Complicity,Iain Banks,"Banks, Iain",,"=""0349105715""","=""9780349105710""",4,3.92,Abacus,Paperback,313,2003,1993,2025/08/17,2023/09/09,"owned, read-in-2025, audiobooked","owned (#161), read-in-2025 (#19), audiobooked (#17)",read,"Tried to do a change of genre with more of a thriller, it was very good and an excellent twist at the end but I fear that the gratuitous S&M sex scenes did not aid the plot very much. With a little bit of a spoiler I did think they’d be the same person but I’m happy with the way it went so can’t complain ",,,1,0
221520065,"The Will of the Many (Hierarchy, #1)",James  Islington,"Islington, James",,"=""1668066629""","=""9781668066621""",5,4.60,Simon & Schuster UK,Paperback,684,2024,2023,2025/08/20,2025/07/29,"book-club, high-fantasy, owned, read-in-2025, audiobooked","book-club (#3), high-fantasy (#28), owned (#178), read-in-2025 (#20), audiobooked (#16)",read,,,,1,0
18966806,"Morning Star (Red Rising Saga, #3)",Pierce Brown,"Brown, Pierce",,"=""0345539842""","=""9780345539847""",4,4.54,Del Rey,Hardcover,525,2016,2016,2025/08/23,2025/08/20,"science-fiction, read-in-2025, audiobooked, kindled","science-fiction (#83), read-in-2025 (#21), audiobooked (#15), kindled (#14)",read,,,,1,0
77197,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,"Hobb, Robin",,"=""055357339X""","=""9780553573398""",4,4.19,Spectra Books,Mass Market Paperback,435,1996,1995,2025/08/25,2025/08/24,"high-fantasy, read-in-2025, audiobooked, loaned","high-fantasy (#30), read-in-2025 (#22), audiobooked (#14), loaned (#2)",read,,,,1,0
22016387,"Royal Assassin (Farseer Trilogy, #2)",Robin Hobb,"Hobb, Robin",,"=""0007562268""","=""9780007562268""",4,4.29,Harper Voyager,Paperback,648,2014,1996,2025/08/31,2025/08/25,"high-fantasy, read-in-2025, loaned, audiobooked","high-fantasy (#31), read-in-2025 (#24), loaned (#1), audiobooked (#13)",read,,,,1,0
53133039,A Clash of Kings (A Song of Ice and Fire #2),George R.R. Martin,"Martin, George R.R.",,"=""0007447833""","=""9780007447831""",3,4.42,Harper Voyager,Paperback,913,2020,1998,2025/09/02,2023/08/11,"high-fantasy, owned, read-in-2025, audiobooked","high-fantasy (#23), owned (#155), read-in-2025 (#25), audiobooked (#12)",read,This took me more than a year to get through. The story itself is very good I’ll admit but it’s just so long and doesn’t flow nearly well enough to keep me coming back. I’ll need to think deeply about whether I wish to continue the series but at least this is another one down ,,,1,0
36662022,"Senlin Ascends (The Books of Babel, #1)",Josiah Bancroft,"Bancroft, Josiah",,"=""0356510816""","=""9780356510811""",4,4.11,Orbit,Paperback,389,2018,2013,2025/09/04,2025/08/27,"book-club, low-fantasy, owned, read-in-2025, science-fiction, audiobooked","book-club (#4), low-fantasy (#34), owned (#181), read-in-2025 (#26), science-fiction (#86), audiobooked (#11)",read,,,,1,0
28669490,The Essential Dykes to Watch Out For,Alison Bechdel,"Bechdel, Alison",,"=""054752353X""","=""9780547523538""",4,4.45,Mariner Books,Kindle Edition,425,2024,2008,2025/09/06,2025/07/31,"read-in-2025, kindled","read-in-2025 (#27), kindled (#13)",read,,,,1,0
92625,The Ones Who Walk Away from Omelas,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0886825016""","=""9780886825010""",4,4.37,"Creative Education, Inc.",Library Binding,32,1997,1973,2025/09/12,2025/09/12,"classics, read-in-2025, kindled","classics (#30), read-in-2025 (#28), kindled (#12)",read,,,,1,0
237658911,Star Wars: Tales from the Nightlands #1,Cavan Scott,"Scott, Cavan","Soo Lee, Comicraft, Francesco Francavilla","=""""","=""""",0,4.06,Dark Horse Comics,Kindle Edition,,2025,,2025/09/19,2025/09/19,"low-fantasy, read-in-2025, science-fiction, kindled","low-fantasy (#36), read-in-2025 (#30), science-fiction (#87), kindled (#11)",read,,,,1,0
33257757,"Iron Gold (Red Rising Saga, #4)",Pierce Brown,"Brown, Pierce",,"=""042528591X""","=""9780425285916""",5,4.21,Del Rey,Hardcover,602,2018,2018,2025/09/20,2025/08/24,"science-fiction, read-in-2025, audiobooked, kindled","science-fiction (#84), read-in-2025 (#31), audiobooked (#10), kindled (#10)",read,,,,1,0
33396914,"Assassin's Quest (Farseer Trilogy, #3)",Robin Hobb,"Hobb, Robin",,"=""""","=""""",5,4.22,Spectra,Kindle Edition,757,2016,1997,2025/10/03,2025/09/20,"high-fantasy, read-in-2025, audiobooked, kindled","high-fantasy (#32), read-in-2025 (#36), audiobooked (#9), kindled (#9)",read,,,,1,0
17333223,The Goldfinch,Donna Tartt,"Tartt, Donna",,"=""0316055433""","=""9780316055437""",4,3.96,"Little, Brown",Hardcover,771,2013,2013,2025/10/05,2025/10/03,"classics, read-in-2025, audiobooked, kindled","classics (#36), read-in-2025 (#37), audiobooked (#8), kindled (#8)",read,,,,1,0
67302335,"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,"Leckie, Ann",,"=""0316565172""","=""9780316565172""",5,3.99,Orbit,Paperback,448,2023,2013,2025/10/07,2025/10/05,"book-club, read-in-2025, science-fiction, audiobooked, libraried","book-club (#5), read-in-2025 (#38), science-fiction (#89), audiobooked (#7), libraried (#1)",read,,,,1,0
60406379,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""1797147943""","=""9781797147949""",5,4.44,Simon & Schuster Audio,Audiobook,7,2022,2022,2025/10/10,2025/10/08,"read-in-2025, audiobooked","read-in-2025 (#39), audiobooked (#6)",read,,,,1,0
1802140,Gateway (Heechee Saga #1),Frederik Pohl,"Pohl, Frederik",,"=""0345318595""","=""9780345318596""",5,4.06,Del Rey,Mass Market Paperback,,1984,1977,2025/10/11,2025/07/31,"science-fiction, sf-masterworks, read-in-2025, audiobooked, kindled","science-fiction (#79), sf-masterworks (#17), read-in-2025 (#40), audiobooked (#5), kindled (#7)",read,,,,1,0
42197753,Elysium Fire (Prefect Dreyfus Emergency #2),Alastair Reynolds,"Reynolds, Alastair",,"=""0575090618""","=""9780575090613""",4,4.07,Gollancz,Paperback,432,2018,2018,2025/10/15,2023/01/26,"owned, science-fiction, read-in-2025, audiobooked","owned (#130), science-fiction (#44), read-in-2025 (#41), audiobooked (#4)",read,"When I read ‘the prefect’, to which this book is a sequel, I was a very different person, it was the first hard sci fi novel I’d properly delved into, as by pure luck. Now I’ve read so much more of Reynold’s works and yet it took me six years to get around to reading this. That did make it a little difficult to understand quite what was going on at the beginning but soon enough I was racing along wither story.<br/><br/>The world building remains incredible, combining with my knowledge from ‘revelation space’ to paint a more detailed picture of the glitter band and its surroundings, while also not necessitating reading the other ones to understand. <br/><br/>The characters remained solid, with the antagonist being compelling and offering a more subtle threat at the beginning. I was almost starting to think Dreyfus might just be a hater for a while, but luckily the pieces all fell into place. <br/><br/>I enjoyed the switching between two time periods to offer parallel intrigue, and also not being too obvious on how they would link together so I was kept invested until the end.<br/><br/>All together very solid and definitely a read recommendation.<br/><br/>Reynolds just doesn’t miss (except for terminal world)",,,1,0
